id,burst,cpu,mem,deadline,latency_sensitivity,priority,gpu_required,active
J001,,9,15,87,1.15,4,False,True
J002,,5,4,98,1.3,1,False,True
J003,,10,11,109,0.7,2,False,True
J004,,6,18,120,0.85,3,False,True
J005,,2,7,131,1.0,4,False,True
J006,,7,14,142,1.15,1,False,True
J007,,3,21,153,1.3,2,False,True
J008,,8,10,164,0.7,3,False,True
J009,,4,17,175,0.85,4,False,True
J010,,9,6,186,1.0,1,False,True
J011,,5,13,77,1.15,2,True,True
J012,,10,20,88,1.3,3,False,True
J013,,6,9,99,0.7,4,False,True
J014,,2,16,110,0.85,1,False,True
J015,,7,5,121,1.0,2,False,True
J016,,3,12,132,1.15,3,False,True
J017,,8,19,143,1.3,4,False,True
J018,,4,8,154,0.7,1,False,True
J019,,9,15,165,0.85,2,False,True
J020,,5,4,176,1.0,3,False,True
J021,,10,11,187,1.15,4,False,True
J022,,6,18,78,1.3,1,True,True
J023,,2,7,89,0.7,2,False,True
J024,,7,14,100,0.85,3,False,True
B22_01,failover-2,5,12,71,1.7,4,False,False
B22_02,failover-2,2,5,75,1.7,4,False,False
B22_03,failover-2,3,8,79,1.7,4,False,False
B22_04,failover-2,4,11,83,1.7,4,False,False
B22_05,failover-2,5,14,87,1.7,4,False,False
B22_06,failover-2,2,7,91,1.7,4,False,False
L001,late-window-2,10,22,93,1.15,4,False,False
L002,late-window-2,3,31,104,1.3,1,False,False
L003,late-window-2,8,12,115,0.7,2,False,False
L004,late-window-2,13,21,126,0.85,3,False,False
L005,late-window-2,6,30,137,1.0,4,False,False
L006,late-window-2,11,11,148,1.15,1,False,False
L007,late-window-2,4,20,159,1.3,2,False,False
L008,late-window-2,9,29,170,0.7,3,False,False
L009,late-window-2,14,10,181,0.85,4,False,False
L010,late-window-2,7,19,192,1.0,1,False,False
L011,late-window-2,12,28,203,1.15,2,False,False
L012,late-window-2,5,9,214,1.3,3,False,False
L013,late-window-2,10,18,225,0.7,4,False,False
L014,late-window-2,3,27,236,0.85,1,False,False
L015,late-window-2,8,8,87,1.0,2,False,False
L016,late-window-2,13,17,98,1.15,3,False,False
L017,late-window-2,6,26,109,1.3,4,False,False
L018,late-window-2,11,7,120,0.7,1,False,False
L019,late-window-2,4,16,131,0.85,2,False,False
L020,late-window-2,9,25,142,1.0,3,False,False
L021,late-window-2,14,34,153,1.15,4,False,False
L022,late-window-2,7,15,164,1.3,1,False,False
L023,late-window-2,12,24,175,0.7,2,False,False
L024,late-window-2,5,33,186,0.85,3,False,False
L025,late-window-2,10,14,197,1.0,4,False,False
L026,late-window-2,3,23,208,1.15,1,False,False
L027,late-window-2,8,32,219,1.3,2,False,False
L028,late-window-2,13,13,230,0.7,3,False,False
L029,late-window-2,6,22,81,0.85,4,False,False
L030,late-window-2,11,31,92,1.0,1,False,False
L031,late-window-2,4,12,103,1.15,2,False,False
L032,late-window-2,9,21,114,1.3,3,False,False
L033,late-window-2,14,30,125,0.7,4,False,False
L034,late-window-2,7,11,136,0.85,1,False,False
L035,late-window-2,12,20,147,1.0,2,False,False
L036,late-window-2,5,29,158,1.15,3,False,False
L037,late-window-2,10,10,169,1.3,4,False,False
L038,late-window-2,3,19,180,0.7,1,False,False
L039,late-window-2,8,28,191,0.85,2,False,False
L040,late-window-2,13,9,202,1.0,3,False,False
