id,x,y,demand,ready,due,service,priority,active
O001,22.0,21.0,3,27.0,78.0,5.0,3,True
O002,33.0,34.0,4,36.0,92.0,6.0,1,True
O003,44.0,3.0,5,45.0,106.0,7.0,2,True
O004,7.0,16.0,1,54.0,120.0,4.0,3,True
O005,18.0,29.0,2,63.0,134.0,5.0,1,True
O006,29.0,42.0,3,72.0,148.0,6.0,2,True
O007,40.0,11.0,4,81.0,162.0,7.0,3,True
O008,51.0,24.0,5,90.0,176.0,4.0,1,True
O009,14.0,37.0,1,19.0,110.0,5.0,2,True
O010,25.0,6.0,2,28.0,124.0,6.0,3,True
O011,36.0,19.0,3,37.0,83.0,7.0,1,True
O012,47.0,32.0,4,46.0,97.0,4.0,2,True
O013,10.0,45.0,5,55.0,111.0,5.0,3,True
O014,21.0,14.0,1,64.0,125.0,6.0,1,True
O015,32.0,27.0,2,73.0,139.0,7.0,2,True
O016,43.0,40.0,3,82.0,153.0,4.0,3,True
O017,6.0,9.0,4,91.0,167.0,5.0,1,True
O018,17.0,22.0,5,20.0,101.0,6.0,2,True
OX1A,10.0,39.0,3,33.0,52.0,5.0,5,False
OX1B,45.0,19.0,4,23.0,62.0,5.0,5,False
A001,24.0,29.0,3,20.0,92.0,5.0,3,False
A002,37.0,46.0,4,27.0,103.0,6.0,1,False
A003,50.0,19.0,5,34.0,114.0,7.0,2,False
A004,15.0,36.0,1,41.0,125.0,4.0,3,False
A005,28.0,9.0,2,48.0,136.0,5.0,1,False
A006,41.0,26.0,3,55.0,147.0,6.0,2,False
A007,6.0,43.0,4,62.0,158.0,7.0,3,False
A008,19.0,16.0,5,69.0,169.0,4.0,1,False
A009,32.0,33.0,1,76.0,180.0,5.0,2,False
A010,45.0,6.0,2,83.0,81.0,6.0,3,False
A011,10.0,23.0,3,90.0,92.0,7.0,1,False
A012,23.0,40.0,4,97.0,103.0,4.0,2,False
A013,36.0,13.0,5,14.0,114.0,5.0,3,False
A014,49.0,30.0,1,21.0,125.0,6.0,1,False
A015,14.0,47.0,2,28.0,136.0,7.0,2,False
A016,27.0,20.0,3,35.0,147.0,4.0,3,False
A017,40.0,37.0,4,42.0,158.0,5.0,1,False
A018,53.0,10.0,5,49.0,169.0,6.0,2,False
A019,18.0,27.0,1,56.0,180.0,7.0,3,False
A020,31.0,44.0,2,63.0,81.0,4.0,1,False
A021,44.0,17.0,3,70.0,92.0,5.0,2,False
A022,9.0,34.0,4,77.0,103.0,6.0,3,False
A023,22.0,7.0,5,84.0,114.0,7.0,1,False
A024,35.0,24.0,1,91.0,125.0,4.0,2,False
A025,48.0,41.0,2,98.0,136.0,5.0,3,False
A026,13.0,14.0,3,15.0,147.0,6.0,1,False
A027,26.0,31.0,4,22.0,158.0,7.0,2,False
A028,39.0,48.0,5,29.0,169.0,4.0,3,False
A029,52.0,21.0,1,36.0,180.0,5.0,1,False
A030,17.0,38.0,2,43.0,81.0,6.0,2,False
B001,24.0,29.0,3,20.0,92.0,5.0,3,False
B002,37.0,46.0,4,27.0,103.0,6.0,1,False
B003,50.0,19.0,5,34.0,114.0,7.0,2,False
B004,15.0,36.0,1,41.0,125.0,4.0,3,False
B005,28.0,9.0,2,48.0,136.0,5.0,1,False
B006,41.0,26.0,3,55.0,147.0,6.0,2,False
B007,6.0,43.0,4,62.0,158.0,7.0,3,False
B008,19.0,16.0,5,69.0,169.0,4.0,1,False
B009,32.0,33.0,1,76.0,180.0,5.0,2,False
B010,45.0,6.0,2,83.0,81.0,6.0,3,False
B011,10.0,23.0,3,90.0,92.0,7.0,1,False
B012,23.0,40.0,4,97.0,103.0,4.0,2,False
B013,36.0,13.0,5,14.0,114.0,5.0,3,False
B014,49.0,30.0,1,21.0,125.0,6.0,1,False
B015,14.0,47.0,2,28.0,136.0,7.0,2,False
B016,27.0,20.0,3,35.0,147.0,4.0,3,False
B017,40.0,37.0,4,42.0,158.0,5.0,1,False
B018,53.0,10.0,5,49.0,169.0,6.0,2,False
B019,18.0,27.0,1,56.0,180.0,7.0,3,False
B020,31.0,44.0,2,63.0,81.0,4.0,1,False
B021,44.0,17.0,3,70.0,92.0,5.0,2,False
B022,9.0,34.0,4,77.0,103.0,6.0,3,False
B023,22.0,7.0,5,84.0,114.0,7.0,1,False
B024,35.0,24.0,1,91.0,125.0,4.0,2,False
B025,48.0,41.0,2,98.0,136.0,5.0,3,False
B026,13.0,14.0,3,15.0,147.0,6.0,1,False
B027,26.0,31.0,4,22.0,158.0,7.0,2,False
B028,39.0,48.0,5,29.0,169.0,4.0,3,False
B029,52.0,21.0,1,36.0,180.0,5.0,1,False
B030,17.0,38.0,2,43.0,81.0,6.0,2,False
