id,skills,max_shifts
N001,general,5
N002,general,5
N003,general,5
N004,general,5
N005,general|icu,5
N006,general,5
N007,general,5
N008,general,5
N009,general,5
N010,general|icu,5
N011,general,5
N012,general,5
N013,general,5
N014,general,5
N015,general|icu,5
N016,general,5
N017,general,5
N018,general,5
N019,general,5
N020,general|icu,5
N021,general,5
N022,general,5
N023,general,5
N024,general,5
N025,general|icu,5
N026,general,5
N027,general,5
N028,general,5
N029,general,5
N030,general|icu,5
N031,general,5
N032,general,5
N033,general,5
N034,general,5
N035,general|icu,5
N036,general,5
N037,general,5
N038,general,5
